,Current Injected (pA),,,,,,,,,,,,
Time (ms),300,350,400,450,500,550,600,,,,,,
11.30,-5.43E-02,-5.32E-02,-5.24E-02,-5.13E-02,-5.08E-02,-5.03E-02,-4.88E-02,,,,,,
11.40,-5.40E-02,-5.32E-02,-5.22E-02,-5.10E-02,-5.05E-02,-5.02E-02,-4.82E-02,,,,,,
11.50,-5.37E-02,-5.29E-02,-5.19E-02,-5.07E-02,-5.00E-02,-4.95E-02,-4.79E-02,,,,,,
11.60,-5.34E-02,-5.26E-02,-5.16E-02,-5.05E-02,-4.96E-02,-4.92E-02,-4.76E-02,,,,,,
11.70,-5.35E-02,-5.22E-02,-5.14E-02,-5.02E-02,-4.93E-02,-4.87E-02,-4.72E-02,,,,,,
11.80,-5.33E-02,-5.21E-02,-5.09E-02,-4.99E-02,-4.91E-02,-4.85E-02,-4.69E-02,,,,,,
11.90,-5.30E-02,-5.19E-02,-5.07E-02,-4.95E-02,-4.88E-02,-4.80E-02,-4.65E-02,,,,,,
12.00,-5.28E-02,-5.17E-02,-5.04E-02,-4.92E-02,-4.84E-02,-4.78E-02,-4.61E-02,,,,,,
12.10,-5.27E-02,-5.16E-02,-5.05E-02,-4.88E-02,-4.83E-02,-4.75E-02,-4.57E-02,,,,,,
12.20,-5.25E-02,-5.13E-02,-5.01E-02,-4.87E-02,-4.79E-02,-4.70E-02,-4.53E-02,,,,,,
12.30,-5.23E-02,-5.11E-02,-5.00E-02,-4.84E-02,-4.76E-02,-4.68E-02,-4.50E-02,,,,,,
12.40,-5.21E-02,-5.11E-02,-4.95E-02,-4.83E-02,-4.71E-02,-4.65E-02,-4.46E-02,,,,,,
12.50,-5.19E-02,-5.08E-02,-4.94E-02,-4.78E-02,-4.69E-02,-4.60E-02,-4.43E-02,,,,,,
12.60,-5.16E-02,-5.04E-02,-4.94E-02,-4.78E-02,-4.67E-02,-4.58E-02,-4.39E-02,,,,,,
12.70,-5.14E-02,-5.03E-02,-4.89E-02,-4.75E-02,-4.64E-02,-4.57E-02,-4.36E-02,,,,,,
12.80,-5.14E-02,-5.00E-02,-4.86E-02,-4.72E-02,-4.61E-02,-4.52E-02,-4.33E-02,,,,,,
12.90,-5.14E-02,-4.98E-02,-4.83E-02,-4.67E-02,-4.57E-02,-4.47E-02,-4.28E-02,,,,,,
13.00,-5.09E-02,-4.98E-02,-4.82E-02,-4.67E-02,-4.56E-02,-4.46E-02,-4.25E-02,,,,,,
13.10,-5.10E-02,-4.95E-02,-4.80E-02,-4.64E-02,-4.53E-02,-4.43E-02,-4.23E-02,,,,,,
13.20,-5.08E-02,-4.92E-02,-4.79E-02,-4.61E-02,-4.50E-02,-4.40E-02,-4.18E-02,,,,,,
13.30,-5.05E-02,-4.91E-02,-4.79E-02,-4.58E-02,-4.48E-02,-4.37E-02,-4.16E-02,,,,,,
13.40,-5.04E-02,-4.89E-02,-4.73E-02,-4.57E-02,-4.45E-02,-4.33E-02,-4.13E-02,,,,,,
13.50,-5.02E-02,-4.88E-02,-4.72E-02,-4.56E-02,-4.43E-02,-4.31E-02,-4.10E-02,,,,,,
13.60,-5.01E-02,-4.85E-02,-4.68E-02,-4.54E-02,-4.38E-02,-4.29E-02,-4.07E-02,,,,,,
13.70,-5.00E-02,-4.82E-02,-4.70E-02,-4.50E-02,-4.34E-02,-4.25E-02,-4.04E-02,,,,,,
13.80,-4.98E-02,-4.82E-02,-4.66E-02,-4.47E-02,-4.35E-02,-4.24E-02,-4.02E-02,,,,,,
13.90,-4.96E-02,-4.80E-02,-4.63E-02,-4.46E-02,-4.34E-02,-4.19E-02,-3.97E-02,,,,,,
14.00,-4.95E-02,-4.78E-02,-4.60E-02,-4.45E-02,-4.29E-02,-4.16E-02,-3.95E-02,,,,,,
14.10,-4.92E-02,-4.76E-02,-4.61E-02,-4.42E-02,-4.25E-02,-4.14E-02,-3.91E-02,,,,,,
14.20,-4.91E-02,-4.77E-02,-4.57E-02,-4.39E-02,-4.23E-02,-4.11E-02,-3.89E-02,,,,,,
14.30,-4.91E-02,-4.75E-02,-4.56E-02,-4.36E-02,-4.22E-02,-4.09E-02,-3.87E-02,,,,,,
14.40,-4.89E-02,-4.72E-02,-4.53E-02,-4.34E-02,-4.18E-02,-4.05E-02,-3.82E-02,,,,,,
14.50,-4.86E-02,-4.72E-02,-4.51E-02,-4.31E-02,-4.16E-02,-4.05E-02,-3.81E-02,,,,,,
14.60,-4.85E-02,-4.69E-02,-4.50E-02,-4.31E-02,-4.14E-02,-4.01E-02,-3.77E-02,,,,,,
14.70,-4.85E-02,-4.67E-02,-4.48E-02,-4.28E-02,-4.11E-02,-3.99E-02,-3.77E-02,,,,,,
14.80,-4.84E-02,-4.67E-02,-4.46E-02,-4.26E-02,-4.10E-02,-3.96E-02,-3.70E-02,,,,,,
14.90,-4.82E-02,-4.65E-02,-4.43E-02,-4.24E-02,-4.07E-02,-3.94E-02,-3.69E-02,,,,,,
15.00,-4.80E-02,-4.65E-02,-4.44E-02,-4.22E-02,-4.06E-02,-3.92E-02,-3.65E-02,,,,,,
15.10,-4.81E-02,-4.60E-02,-4.41E-02,-4.19E-02,-4.04E-02,-3.89E-02,-3.63E-02,,,,,,
15.20,-4.79E-02,-4.61E-02,-4.39E-02,-4.20E-02,-4.02E-02,-3.88E-02,-3.62E-02,,,,,,
15.30,-4.77E-02,-4.59E-02,-4.38E-02,-4.15E-02,-3.98E-02,-3.84E-02,-3.59E-02,,,,,,
15.40,-4.75E-02,-4.56E-02,-4.35E-02,-4.12E-02,-3.96E-02,-3.83E-02,-3.55E-02,,,,,,
15.50,-4.74E-02,-4.54E-02,-4.33E-02,-4.11E-02,-3.94E-02,-3.79E-02,-3.54E-02,,,,,,
15.60,-4.73E-02,-4.53E-02,-4.31E-02,-4.08E-02,-3.92E-02,-3.78E-02,-3.49E-02,,,,,,
15.70,-4.71E-02,-4.53E-02,-4.32E-02,-4.07E-02,-3.92E-02,-3.74E-02,-3.49E-02,,,,,,
15.80,-4.69E-02,-4.52E-02,-4.29E-02,-4.08E-02,-3.89E-02,-3.71E-02,-3.45E-02,,,,,,
15.90,-4.69E-02,-4.47E-02,-4.27E-02,-4.06E-02,-3.87E-02,-3.69E-02,-3.42E-02,,,,,,
16.00,-4.68E-02,-4.47E-02,-4.26E-02,-4.02E-02,-3.83E-02,-3.68E-02,-3.42E-02,,,,,,
16.10,-4.67E-02,-4.46E-02,-4.23E-02,-4.01E-02,-3.83E-02,-3.67E-02,-3.39E-02,,,,,,
16.20,-4.65E-02,-4.45E-02,-4.23E-02,-3.98E-02,-3.82E-02,-3.63E-02,-3.35E-02,,,,,,
16.30,-4.65E-02,-4.41E-02,-4.20E-02,-3.97E-02,-3.78E-02,-3.61E-02,-3.33E-02,,,,,,
16.40,-4.63E-02,-4.43E-02,-4.22E-02,-3.95E-02,-3.76E-02,-3.58E-02,-3.32E-02,,,,,,
16.50,-4.60E-02,-4.41E-02,-4.17E-02,-3.94E-02,-3.74E-02,-3.57E-02,-3.29E-02,,,,,,
16.60,-4.60E-02,-4.37E-02,-4.16E-02,-3.92E-02,-3.72E-02,-3.55E-02,-3.26E-02,,,,,,
16.70,-4.61E-02,-4.39E-02,-4.15E-02,-3.89E-02,-3.71E-02,-3.53E-02,-3.25E-02,,,,,,
16.80,-4.59E-02,-4.36E-02,-4.14E-02,-3.86E-02,-3.68E-02,-3.52E-02,-3.23E-02,,,,,,
16.90,-4.58E-02,-4.34E-02,-4.12E-02,-3.88E-02,-3.65E-02,-3.48E-02,-3.20E-02,,,,,,
17.00,-4.55E-02,-4.34E-02,-4.11E-02,-3.85E-02,-3.65E-02,-3.46E-02,-3.17E-02,,,,,,
17.10,-4.55E-02,-4.34E-02,-4.09E-02,-3.84E-02,-3.62E-02,-3.45E-02,-3.17E-02,,,,,,
17.20,-4.55E-02,-4.31E-02,-4.07E-02,-3.81E-02,-3.61E-02,-3.42E-02,-3.13E-02,,,,,,
17.30,-4.53E-02,-4.30E-02,-4.06E-02,-3.82E-02,-3.59E-02,-3.40E-02,-3.13E-02,,,,,,
17.40,-4.51E-02,-4.28E-02,-4.04E-02,-3.79E-02,-3.57E-02,-3.39E-02,-3.08E-02,,,,,,
17.50,-4.52E-02,-4.29E-02,-4.05E-02,-3.76E-02,-3.56E-02,-3.37E-02,-3.06E-02,,,,,,
17.60,-4.50E-02,-4.26E-02,-4.02E-02,-3.75E-02,-3.54E-02,-3.35E-02,-3.04E-02,,,,,,
17.70,-4.48E-02,-4.25E-02,-4.00E-02,-3.73E-02,-3.53E-02,-3.33E-02,-3.01E-02,,,,,,
17.80,-4.48E-02,-4.24E-02,-3.97E-02,-3.72E-02,-3.51E-02,-3.30E-02,-3.01E-02,,,,,,
17.90,-4.47E-02,-4.21E-02,-3.98E-02,-3.73E-02,-3.49E-02,-3.30E-02,-2.98E-02,,,,,,
18.00,-4.47E-02,-4.21E-02,-3.97E-02,-3.68E-02,-3.49E-02,-3.28E-02,-2.95E-02,,,,,,
18.10,-4.45E-02,-4.20E-02,-3.96E-02,-3.67E-02,-3.45E-02,-3.26E-02,-2.95E-02,,,,,,
18.20,-4.44E-02,-4.19E-02,-3.94E-02,-3.66E-02,-3.43E-02,-3.24E-02,-2.90E-02,,,,,,
18.30,-4.42E-02,-4.17E-02,-3.93E-02,-3.63E-02,-3.42E-02,-3.21E-02,-2.90E-02,,,,,,
18.40,-4.41E-02,-4.18E-02,-3.91E-02,-3.63E-02,-3.41E-02,-3.20E-02,-2.89E-02,,,,,,
18.50,-4.39E-02,-4.16E-02,-3.90E-02,-3.62E-02,-3.40E-02,-3.18E-02,-2.85E-02,,,,,,
18.60,-4.39E-02,-4.14E-02,-3.88E-02,-3.60E-02,-3.37E-02,-3.17E-02,-2.84E-02,,,,,,
18.70,-4.37E-02,-4.12E-02,-3.87E-02,-3.58E-02,-3.36E-02,-3.14E-02,-2.82E-02,,,,,,
18.80,-4.37E-02,-4.13E-02,-3.85E-02,-3.59E-02,-3.34E-02,-3.15E-02,-2.80E-02,,,,,,
18.90,-4.37E-02,-4.12E-02,-3.83E-02,-3.56E-02,-3.32E-02,-3.11E-02,-2.79E-02,,,,,,
19.00,-4.35E-02,-4.10E-02,-3.83E-02,-3.56E-02,-3.31E-02,-3.10E-02,-2.75E-02,,,,,,
19.10,-4.33E-02,-4.09E-02,-3.84E-02,-3.53E-02,-3.30E-02,-3.07E-02,-2.73E-02,,,,,,
19.20,-4.35E-02,-4.08E-02,-3.79E-02,-3.52E-02,-3.29E-02,-3.07E-02,-2.70E-02,,,,,,
19.30,-4.31E-02,-4.07E-02,-3.80E-02,-3.52E-02,-3.27E-02,-3.03E-02,-2.69E-02,,,,,,
19.40,-4.31E-02,-4.07E-02,-3.78E-02,-3.49E-02,-3.24E-02,-3.01E-02,-2.67E-02,,,,,,
19.50,-4.31E-02,-4.04E-02,-3.77E-02,-3.47E-02,-3.22E-02,-3.02E-02,-2.66E-02,,,,,,
19.60,-4.31E-02,-4.04E-02,-3.78E-02,-3.46E-02,-3.21E-02,-3.00E-02,-2.63E-02,,,,,,
19.70,-4.30E-02,-4.02E-02,-3.75E-02,-3.45E-02,-3.21E-02,-2.97E-02,-2.61E-02,,,,,,
19.80,-4.28E-02,-4.01E-02,-3.73E-02,-3.45E-02,-3.18E-02,-2.96E-02,-2.60E-02,,,,,,
19.90,-4.27E-02,-4.00E-02,-3.73E-02,-3.42E-02,-3.16E-02,-2.93E-02,-2.57E-02,,,,,,
20.00,-4.28E-02,-3.99E-02,-3.73E-02,-3.42E-02,-3.17E-02,-2.91E-02,-2.57E-02,,,,,,
20.10,-4.27E-02,-3.98E-02,-3.70E-02,-3.39E-02,-3.14E-02,-2.92E-02,-2.53E-02,,,,,,
20.20,-4.25E-02,-3.97E-02,-3.70E-02,-3.38E-02,-3.13E-02,-2.90E-02,-2.51E-02,,,,,,
20.30,-4.23E-02,-3.96E-02,-3.68E-02,-3.37E-02,-3.12E-02,-2.90E-02,-2.49E-02,,,,,,
20.40,-4.24E-02,-3.96E-02,-3.68E-02,-3.37E-02,-3.11E-02,-2.87E-02,-2.48E-02,,,,,,
20.50,-4.22E-02,-3.93E-02,-3.64E-02,-3.37E-02,-3.11E-02,-2.86E-02,-2.43E-02,,,,,,
20.60,-4.22E-02,-3.93E-02,-3.65E-02,-3.35E-02,-3.08E-02,-2.84E-02,-2.43E-02,,,,,,
20.70,-4.23E-02,-3.92E-02,-3.63E-02,-3.34E-02,-3.07E-02,-2.80E-02,-2.41E-02,,,,,,
20.80,-4.19E-02,-3.94E-02,-3.65E-02,-3.33E-02,-3.03E-02,-2.80E-02,-2.38E-02,,,,,,
20.90,-4.18E-02,-3.92E-02,-3.63E-02,-3.30E-02,-3.05E-02,-2.79E-02,-2.35E-02,,,,,,
