Model,GNav17,GNav18,GNav19,GKdr,GKA,GKM,GH,GKleak
8886,0.310945,1.626887,2.507836,2.912551,11.256823,2.782356,1.824471,0.102352
8901,0.279882,1.307641,2.833913,3.350334,8.009301,3.31719,1.320087,0.114899
8957,0.346776,1.422781,3.783287,3.214097,9.862147,1.576687,1.714314,0.166648
9004,0.229642,1.315329,2.39039,2.666755,5.380589,2.262096,0.397188,0.019183
9092,0.339015,0.957378,3.607941,2.163395,3.220289,1.642574,1.842339,0.03629
9167,0.022801,1.203921,3.012607,1.816464,8.126049,2.776738,1.747399,0.091127
9204,0.38267,0.646618,2.373058,1.351392,6.21761,3.800805,1.9947,0.055281
9282,0.111135,1.162946,2.743794,1.503744,2.070099,3.332314,0.499196,0.147662
9319,0.237045,0.692456,2.371003,1.523313,5.117677,1.750637,1.034148,0.064847
9349,0.208923,1.085219,3.945801,2.811431,0.54388,3.057937,0.594296,0.055544
9487,0.177009,1.526687,0.305675,3.783386,11.370906,2.40504,1.807459,0.111869
9495,0.397198,0.650471,1.977193,1.306333,8.103171,2.089452,1.882654,0.125411
9676,0.188994,1.086505,1.259816,1.308103,2.658142,3.741546,0.766294,0.108498
9719,0.322522,1.12334,0.836265,2.509584,3.848043,0.438359,0.823252,0.118826
9743,0.29154,1.290288,2.716544,3.04749,20.970236,1.636482,1.906165,0.044461
9766,0.37464,0.720293,1.142727,1.347804,6.154744,2.96309,1.55522,0.032621
9797,0.142143,0.682519,3.630882,0.899013,5.595668,3.82652,1.490805,0.0142
9849,0.240335,1.251611,2.734437,3.74502,16.808555,1.277691,1.148393,0.09971
9910,0.209008,1.318129,3.656615,3.945511,14.173423,2.281632,0.737354,0.041312
9917,0.144904,0.572274,1.455794,0.805865,3.80623,3.514539,1.06223,0.155328
9930,0.021202,1.473072,2.806577,3.249608,3.476902,3.325074,0.585157,0.147534
9934,0.363493,0.921664,0.365753,3.098806,4.335793,2.585978,0.777837,0.041624
9958,0.259397,0.720175,2.097245,1.599524,2.966569,0.664158,0.977651,0.142664
10022,0.383792,1.136334,1.948228,2.974976,5.136866,2.850735,1.538209,0.140415
10189,0.395729,0.759832,0.975733,1.766626,11.693656,2.387006,1.730139,0.024392
10193,0.101062,0.801805,2.17063,1.084547,2.771238,3.438977,1.44158,0.128594
10257,0.287961,1.160498,3.262594,3.159912,2.748706,3.156361,1.726656,0.120016
10281,0.300861,0.963148,2.736276,1.759495,4.456214,2.414934,1.864737,0.148958
10323,0.168779,1.764881,2.655072,3.871025,5.295463,3.169029,1.241556,0.024471
10360,0.293021,1.375591,0.224812,3.569877,2.384463,2.463962,0.977241,0.17913
10451,0.219432,1.609294,1.4989,2.68337,4.780729,2.520877,1.602159,0.189076
10574,0.04317,1.690815,0.829186,3.486774,14.982798,1.806218,1.544425,0.094233
10710,0.05944,1.15759,1.048474,2.436009,8.903341,3.246809,1.24186,0.016958
10737,0.005106,1.364198,2.04097,3.887833,5.639211,1.535954,0.210436,0.160767
10742,0.016033,1.651126,0.284846,3.779814,1.333413,3.153457,1.521642,0.170808
10772,0.231785,1.4865,1.68345,3.748591,17.383759,2.223464,1.619543,0.17797
10862,0.349262,1.361528,2.095328,2.910655,6.38402,2.510774,1.349596,0.161594
10942,0.34173,1.012124,1.741004,3.198739,10.365057,1.259805,0.80105,0.076899
10951,0.181695,1.032703,2.277213,3.288183,6.660629,3.911026,0.610547,0.078849
11011,0.109726,0.784586,0.770853,1.668121,5.210388,3.598411,0.895989,0.151291
11040,0.340552,1.200661,0.441454,2.74481,0.035023,2.404502,1.142696,0.082147
11064,0.229791,1.202902,0.570391,3.604029,7.54354,0.050063,1.137052,0.165073
11070,0.331051,0.752185,0.588218,1.679256,2.903859,2.722801,1.793997,0.087676
11076,0.379631,0.635583,2.496203,0.934832,5.659604,3.51281,1.960139,0.022123
11135,0.247946,1.235644,2.165252,3.236823,6.949398,2.583663,1.772317,0.1398
11173,0.239928,1.482421,0.257562,3.941938,17.52794,1.703259,1.457641,0.069633
11262,0.363632,0.694076,1.117226,2.24391,4.113118,1.526753,0.608262,0.163236
11319,0.314819,0.802984,0.595737,1.391732,8.54296,1.818765,1.783195,0.182968
11447,0.135189,1.201507,3.441033,2.779466,3.983447,3.722592,0.941591,0.063469
11462,0.1146,0.471907,0.015595,0.768564,3.616738,1.606515,0.995121,0.053065
11477,0.187184,1.227065,3.449352,2.674068,9.074168,2.831123,0.960035,0.142608
11577,0.266046,0.86149,3.069671,1.80096,6.407306,2.003956,0.734342,0.054152
11643,0.140084,1.14057,2.695306,1.922383,5.729976,3.834995,1.686872,0.076178
11691,0.180687,1.31189,3.347535,3.576388,6.494409,1.91475,1.01032,0.179607
11704,0.31841,1.299045,3.473853,3.320452,17.736619,0.639696,1.787034,0.119211
11750,0.017964,1.081642,3.506888,1.886205,5.954275,1.746397,1.675658,0.107397
11754,0.338921,0.850756,1.656324,1.60235,5.374698,1.29778,1.488636,0.152247
11766,0.23321,1.253151,0.729699,2.640163,9.049429,3.140462,1.659151,0.023812
11876,0.005707,1.742606,3.275557,3.54454,11.452911,1.72532,1.547479,0.174004
11885,0.24779,1.289659,2.707442,2.524778,3.842259,2.616154,0.599808,0.178878
11923,0.395714,0.74337,1.868565,0.925601,2.210922,2.906911,1.102077,0.139671
12053,0.379344,0.909832,1.386048,3.313152,2.008379,1.499587,0.864954,0.153735
12292,0.297162,1.640704,1.786272,3.391812,1.321814,3.250789,1.466836,0.049746
12368,0.244202,0.882773,3.622517,2.931947,3.602184,2.800279,0.835171,0.151523
12490,0.271409,1.001035,1.010873,2.681377,2.165096,2.500002,0.66889,0.152639
12497,0.012078,1.38975,3.701169,3.592259,5.037521,0.501197,1.957089,0.111612
12553,0.166276,0.798005,2.776144,1.454193,7.091662,0.369829,1.855292,0.177726
12557,0.021128,1.358381,1.070639,3.287951,9.416364,1.457349,1.046309,0.070747
12578,0.307058,1.366428,0.089249,3.125728,7.81529,1.244296,0.888261,0.114224
12697,0.181032,1.534487,1.470479,3.810162,14.867118,1.686545,1.653282,0.194098
12827,0.160969,1.621677,1.780406,3.119279,8.790111,3.220185,1.614719,0.025098
12829,0.250369,1.896819,0.003769,3.608514,2.098501,3.584693,1.759488,0.14001
12848,0.114641,0.748404,1.959164,1.786558,0.994877,2.695098,0.19248,0.034397
12864,0.290936,1.130611,3.178151,2.221379,8.313373,1.236814,1.546517,0.057798
12975,0.161688,1.195492,3.46242,1.367232,4.349695,3.519058,1.371,0.191273
13019,0.051683,1.775746,2.989195,2.807167,10.513262,3.730675,1.215127,0.011853
13086,0.34551,1.903671,2.137155,2.942826,3.860123,3.886683,1.012248,0.181309
13213,0.274572,1.199574,1.820872,3.582281,10.174509,0.12327,0.784575,0.111946
13241,0.320132,1.521189,0.003317,3.639777,7.454549,2.068294,1.167748,0.104357
13281,0.297558,1.146352,0.062156,2.223962,4.269337,2.931198,0.994226,0.171446
13500,0.338957,1.133384,1.442145,3.980772,16.398462,3.362791,0.832669,0.102988
13501,0.058386,1.310674,2.844564,3.901652,5.034408,1.738998,0.453977,0.112515
13625,0.005649,0.583497,2.998188,1.076663,1.021528,2.700069,0.287358,0.143737
13682,0.097702,0.636801,2.706261,1.171394,5.265537,1.486695,1.089078,0.133907
13688,0.343542,1.376433,1.490204,3.586652,7.259494,1.081229,0.965687,0.161685
13695,0.238254,1.442429,2.808482,3.500157,2.510815,3.048391,0.936935,0.105693
13764,0.303102,1.525233,1.433356,3.765479,15.100181,1.597478,1.995748,0.163764
13830,0.272942,0.79987,3.955429,2.257558,6.66954,2.18198,0.564144,0.046089
14056,0.290222,0.988556,2.918243,2.977507,10.258323,1.431239,1.343094,0.069958
14085,0.310499,0.378629,0.840063,0.397444,4.947725,2.273676,1.239979,0.176071
14117,0.047895,2.019873,1.818297,3.694839,1.196837,3.506303,0.344211,0.157237
14151,0.188414,0.559592,2.422386,1.271396,3.22301,2.012267,0.971167,0.161489
14186,0.132126,1.526193,2.892468,3.626641,10.079569,0.371139,1.696095,0.08582
14416,0.078668,1.57971,2.504354,2.885109,2.643873,3.231258,1.124975,0.155186
14431,0.340231,1.031289,1.977214,2.2371,0.604744,2.754121,1.644692,0.073713
14536,0.10758,1.40691,1.232226,2.083528,10.774758,3.140999,1.762986,0.191297
14578,0.222814,1.627949,1.620157,3.195214,5.228486,2.454484,1.803778,0.142957
14591,0.129145,0.82972,3.573027,2.391607,0.153187,0.719765,0.254471,0.14431
14596,0.150088,1.115962,2.796057,3.087542,4.414226,1.352901,0.754918,0.017611
14618,0.111684,1.162295,2.284232,2.818261,24.327897,2.468776,1.697032,0.054999
14666,0.30921,1.190734,2.78395,2.50165,13.407871,2.810299,1.73951,0.143527
14735,0.395813,1.633042,2.376612,3.870268,9.676486,2.484283,1.210793,0.180245
14737,0.398811,1.35032,3.385655,2.675557,5.806226,3.23053,1.990243,0.037612
14738,0.388154,1.418752,3.222821,3.981559,7.335613,1.528809,1.625011,0.055597
14798,0.351711,0.772782,0.837988,1.912332,7.28794,0.792244,0.809103,0.023617
14909,0.344687,0.994712,3.914712,2.739944,0.333845,3.921863,1.623581,0.03057
14972,0.303835,0.554153,2.514395,1.205125,3.000412,0.698992,1.594504,0.159068
15003,0.014609,1.439021,0.627661,3.280698,11.636608,2.732192,1.565413,0.118989
15191,0.296924,1.479952,0.261874,3.758983,0.187715,1.409051,0.238183,0.085966
15226,0.389192,0.98701,1.419658,3.008828,4.617625,3.24386,0.755073,0.128253
15235,0.37854,1.254223,3.200915,3.853685,3.770251,0.78445,1.504201,0.107939
15292,0.081637,1.270669,2.597111,2.453509,14.635438,2.584802,1.559076,0.069934
15345,0.02686,1.068461,2.268077,2.181781,6.956812,1.103784,0.697414,0.12224
15352,0.304522,1.472708,1.509589,3.719367,5.852161,1.315038,0.756542,0.137726
15397,0.055287,2.002082,2.64659,3.910003,8.877362,3.061098,1.841521,0.03421
15489,0.078369,0.609941,0.538241,1.355452,2.630453,0.920178,0.263164,0.178444
15542,0.160018,1.402831,2.171239,2.724218,4.161782,2.607601,1.782794,0.186698
15702,0.37192,1.826403,2.04811,3.825484,6.615568,3.658473,1.801894,0.040603
15706,0.201813,1.624422,0.200976,3.388692,3.511244,2.752,0.835249,0.098438
15790,0.050662,1.218224,0.921096,2.662258,1.9485,2.064354,1.763987,0.031641
15836,0.103429,1.440253,2.547252,2.624962,10.725005,2.215396,1.643682,0.160613
15843,0.145877,1.513674,1.667374,2.671059,3.76066,2.997053,1.10834,0.164084
15973,0.367583,0.773963,2.136295,1.845409,3.249213,3.621029,1.077584,0.148022
15988,0.273178,1.152428,0.166218,2.786416,8.452955,2.556368,1.78677,0.090294
16032,0.118652,0.424684,1.635886,1.211054,3.706724,0.688724,0.330913,0.178396
16051,0.307704,0.877645,1.382395,2.401103,0.299404,0.976982,0.328196,0.09723
16193,0.039584,1.681594,0.246542,3.381448,17.073567,2.565512,1.678489,0.155709
16277,0.393687,1.536606,2.907117,3.755657,8.421164,0.89644,0.99459,0.137934
16306,0.161345,1.525471,1.02378,3.108485,16.69701,1.822442,1.753977,0.021837
16317,0.046566,1.125431,3.117214,1.950428,5.938729,3.529169,0.908978,0.064835
16320,0.067273,1.120164,1.337517,2.179911,7.754729,3.599053,1.751085,0.158479
16364,0.257354,1.471326,3.546581,3.290538,10.189589,3.028962,1.735598,0.032094
16795,0.080853,1.045782,2.430886,1.945896,10.266297,1.529674,0.986176,0.025204
16821,0.022934,0.789697,0.32456,1.902753,4.751818,3.407187,0.122891,0.029277
16936,0.205116,0.94743,3.480747,3.373704,6.488614,0.798165,0.303368,0.188584
17253,0.080877,1.599414,0.457169,3.569766,5.43652,2.046929,0.742056,0.101613
17264,0.088164,1.059135,3.837741,1.838004,3.534374,3.202613,0.739903,0.160083
17385,0.112652,1.334504,0.882582,3.269619,7.943174,1.870473,0.604185,0.087299
17396,0.398554,1.026313,1.423225,2.125639,8.077295,1.835055,1.584405,0.069089
17424,0.117289,0.698875,1.404004,1.259332,2.68992,2.869657,1.255342,0.11524
17436,0.072042,1.480497,2.925636,3.361394,13.651426,2.447069,1.344262,0.198288
17638,0.113047,0.789301,0.098942,1.413284,1.663868,2.98233,1.212033,0.011705
17816,0.032414,1.16183,3.835097,2.087928,10.202554,3.03798,1.912823,0.058075
17897,0.314829,1.157852,2.394037,3.399052,17.404967,3.733865,1.971982,0.181674
17960,0.323149,1.414159,2.302226,2.7799,6.62798,3.178084,1.27071,0.127247
18164,0.102226,0.637334,3.39087,0.961887,4.40438,3.415322,1.780683,0.104651
18173,0.379549,0.950551,0.971793,2.282656,5.171952,2.533997,1.306292,0.170867
18181,0.215323,1.244698,2.38099,2.51318,1.326706,1.736787,1.610504,0.181224
18418,0.051554,0.809371,3.753325,1.486205,2.115562,3.425917,0.040917,0.008612
