,Current Injected (pA),,,,,,,,,,,,,
Time (ms),800,850,900,950,1000,1050,,,,,,,,
16.00,-1.62E-02,-1.35E-02,-9.58E-03,-3.84E-03,1.18E-02,2.30E-02,,,,,,,,
16.10,-1.63E-02,-1.37E-02,-9.64E-03,-3.12E-03,1.52E-02,2.71E-02,,,,,,,,
16.20,-1.64E-02,-1.38E-02,-9.58E-03,-2.15E-03,1.88E-02,3.13E-02,,,,,,,,
16.30,-1.67E-02,-1.42E-02,-9.36E-03,-1.37E-03,2.30E-02,3.53E-02,,,,,,,,
16.40,-1.68E-02,-1.45E-02,-9.42E-03,-1.56E-04,2.74E-02,3.88E-02,,,,,,,,
16.50,-1.70E-02,-1.47E-02,-9.55E-03,1.06E-03,3.16E-02,4.14E-02,,,,,,,,
16.60,-1.74E-02,-1.51E-02,-9.73E-03,2.56E-03,3.55E-02,4.34E-02,,,,,,,,
16.70,-1.79E-02,-1.55E-02,-9.70E-03,4.24E-03,3.89E-02,4.47E-02,,,,,,,,
16.80,-1.82E-02,-1.59E-02,-9.98E-03,6.05E-03,4.15E-02,4.55E-02,,,,,,,,
16.90,-1.86E-02,-1.65E-02,-9.98E-03,8.39E-03,4.34E-02,4.57E-02,,,,,,,,
17.00,-1.89E-02,-1.69E-02,-1.02E-02,1.10E-02,4.46E-02,4.56E-02,,,,,,,,
17.10,-1.94E-02,-1.75E-02,-1.05E-02,1.38E-02,4.53E-02,4.51E-02,,,,,,,,
17.20,-2.00E-02,-1.81E-02,-1.09E-02,1.71E-02,4.55E-02,4.46E-02,,,,,,,,
17.30,-2.05E-02,-1.86E-02,-1.12E-02,2.08E-02,4.54E-02,4.39E-02,,,,,,,,
17.40,-2.10E-02,-1.93E-02,-1.17E-02,2.48E-02,4.49E-02,4.30E-02,,,,,,,,
17.50,-2.15E-02,-2.00E-02,-1.22E-02,2.87E-02,4.46E-02,4.19E-02,,,,,,,,
17.60,-2.22E-02,-2.08E-02,-1.28E-02,3.25E-02,4.36E-02,4.07E-02,,,,,,,,
17.70,-2.27E-02,-2.15E-02,-1.34E-02,3.57E-02,4.27E-02,3.93E-02,,,,,,,,
17.80,-2.33E-02,-2.21E-02,-1.42E-02,3.84E-02,4.18E-02,3.81E-02,,,,,,,,
17.90,-2.40E-02,-2.28E-02,-1.48E-02,4.04E-02,4.05E-02,3.68E-02,,,,,,,,
18.00,-2.47E-02,-2.37E-02,-1.57E-02,4.20E-02,3.92E-02,3.54E-02,,,,,,,,
18.10,-2.52E-02,-2.47E-02,-1.66E-02,4.31E-02,3.79E-02,3.42E-02,,,,,,,,
18.20,-2.58E-02,-2.53E-02,-1.76E-02,4.37E-02,3.66E-02,3.30E-02,,,,,,,,
18.30,-2.63E-02,-2.62E-02,-1.86E-02,4.39E-02,3.54E-02,3.17E-02,,,,,,,,
18.40,-2.71E-02,-2.68E-02,-1.96E-02,4.38E-02,3.39E-02,3.06E-02,,,,,,,,
18.50,-2.78E-02,-2.75E-02,-2.07E-02,4.35E-02,3.28E-02,2.93E-02,,,,,,,,
18.60,-2.84E-02,-2.83E-02,-2.18E-02,4.29E-02,3.15E-02,2.82E-02,,,,,,,,
18.70,-2.90E-02,-2.88E-02,-2.31E-02,4.21E-02,3.04E-02,2.71E-02,,,,,,,,
18.80,-2.96E-02,-2.96E-02,-2.43E-02,4.14E-02,2.93E-02,2.60E-02,,,,,,,,
18.90,-3.01E-02,-3.02E-02,-2.53E-02,4.04E-02,2.80E-02,2.51E-02,,,,,,,,
19.00,-3.07E-02,-3.08E-02,-2.65E-02,3.93E-02,2.69E-02,2.41E-02,,,,,,,,
19.10,-3.12E-02,-3.14E-02,-2.75E-02,3.82E-02,2.59E-02,2.34E-02,,,,,,,,
19.20,-3.17E-02,-3.19E-02,-2.86E-02,3.69E-02,2.50E-02,2.24E-02,,,,,,,,
19.30,-3.24E-02,-3.24E-02,-2.96E-02,3.57E-02,2.41E-02,2.15E-02,,,,,,,,
19.40,-3.27E-02,-3.29E-02,-3.06E-02,3.46E-02,2.30E-02,2.07E-02,,,,,,,,
19.50,-3.32E-02,-3.34E-02,-3.17E-02,3.34E-02,2.21E-02,2.00E-02,,,,,,,,
19.60,-3.35E-02,-3.37E-02,-3.25E-02,3.22E-02,2.14E-02,1.93E-02,,,,,,,,
19.70,-3.39E-02,-3.42E-02,-3.33E-02,3.10E-02,2.06E-02,1.85E-02,,,,,,,,
19.80,-3.43E-02,-3.45E-02,-3.41E-02,3.00E-02,1.99E-02,1.78E-02,,,,,,,,
19.90,-3.47E-02,-3.48E-02,-3.49E-02,2.89E-02,1.92E-02,1.73E-02,,,,,,,,
20.00,-3.49E-02,-3.53E-02,-3.57E-02,2.78E-02,1.82E-02,1.66E-02,,,,,,,,
20.10,-3.52E-02,-3.55E-02,-3.62E-02,2.68E-02,1.76E-02,1.58E-02,,,,,,,,
20.20,-3.55E-02,-3.59E-02,-3.68E-02,2.56E-02,1.68E-02,1.52E-02,,,,,,,,
20.30,-3.58E-02,-3.63E-02,-3.73E-02,2.48E-02,1.62E-02,1.46E-02,,,,,,,,
20.40,-3.60E-02,-3.64E-02,-3.78E-02,2.39E-02,1.53E-02,1.40E-02,,,,,,,,
20.50,-3.63E-02,-3.67E-02,-3.84E-02,2.30E-02,1.48E-02,1.33E-02,,,,,,,,
20.60,-3.63E-02,-3.67E-02,-3.89E-02,2.21E-02,1.43E-02,1.27E-02,,,,,,,,
20.70,-3.67E-02,-3.69E-02,-3.92E-02,2.12E-02,1.36E-02,1.21E-02,,,,,,,,
20.80,-3.69E-02,-3.72E-02,-3.96E-02,2.06E-02,1.29E-02,1.15E-02,,,,,,,,
20.90,-3.69E-02,-3.73E-02,-3.99E-02,1.98E-02,1.22E-02,1.08E-02,,,,,,,,
21.00,-3.72E-02,-3.74E-02,-4.01E-02,1.91E-02,1.16E-02,1.01E-02,,,,,,,,
21.10,-3.73E-02,-3.76E-02,-4.04E-02,1.84E-02,1.09E-02,9.45E-03,,,,,,,,
21.20,-3.74E-02,-3.77E-02,-4.08E-02,1.77E-02,1.04E-02,8.89E-03,,,,,,,,
21.30,-3.75E-02,-3.79E-02,-4.06E-02,1.72E-02,9.73E-03,8.27E-03,,,,,,,,
21.40,-3.78E-02,-3.80E-02,-4.11E-02,1.63E-02,9.20E-03,7.46E-03,,,,,,,,
21.50,-3.78E-02,-3.81E-02,-4.12E-02,1.57E-02,8.52E-03,6.68E-03,,,,,,,,
21.60,-3.79E-02,-3.83E-02,-4.13E-02,1.49E-02,7.89E-03,5.83E-03,,,,,,,,
21.70,-3.80E-02,-3.83E-02,-4.13E-02,1.45E-02,7.02E-03,5.02E-03,,,,,,,,
21.80,-3.80E-02,-3.83E-02,-4.15E-02,1.38E-02,6.30E-03,4.24E-03,,,,,,,,
21.90,-3.81E-02,-3.84E-02,-4.17E-02,1.32E-02,5.49E-03,3.34E-03,,,,,,,,
22.00,-3.80E-02,-3.83E-02,-4.15E-02,1.26E-02,4.74E-03,2.50E-03,,,,,,,,
22.10,-3.82E-02,-3.84E-02,-4.16E-02,1.20E-02,3.84E-03,1.50E-03,,,,,,,,
22.20,-3.82E-02,-3.83E-02,-4.17E-02,1.14E-02,3.18E-03,6.24E-04,,,,,,,,
22.30,-3.81E-02,-3.85E-02,-4.17E-02,1.07E-02,2.18E-03,-5.30E-04,,,,,,,,
22.40,-3.83E-02,-3.86E-02,-4.17E-02,1.01E-02,1.12E-03,-1.75E-03,,,,,,,,
22.50,-3.82E-02,-3.85E-02,-4.16E-02,9.36E-03,2.18E-04,-3.00E-03,,,,,,,,
22.60,-3.83E-02,-3.85E-02,-4.17E-02,8.67E-03,-9.05E-04,-4.43E-03,,,,,,,,
22.70,-3.82E-02,-3.85E-02,-4.18E-02,8.17E-03,-2.06E-03,-5.87E-03,,,,,,,,
22.80,-3.82E-02,-3.84E-02,-4.15E-02,7.43E-03,-3.31E-03,-7.46E-03,,,,,,,,
22.90,-3.81E-02,-3.83E-02,-4.16E-02,6.83E-03,-4.71E-03,-9.14E-03,,,,,,,,
23.00,-3.82E-02,-3.83E-02,-4.17E-02,5.87E-03,-6.18E-03,-1.11E-02,,,,,,,,
23.10,-3.82E-02,-3.83E-02,-4.15E-02,5.12E-03,-7.74E-03,-1.33E-02,,,,,,,,
23.20,-3.81E-02,-3.83E-02,-4.14E-02,4.31E-03,-9.64E-03,-1.54E-02,,,,,,,,
23.30,-3.81E-02,-3.81E-02,-4.14E-02,3.49E-03,-1.16E-02,-1.75E-02,,,,,,,,
